X-sc-delete-daemon    | devoid-self-disable
X-sc-remote-delete    | devoid-self-disable
X-schtasks-delete     | devoid-self-disable
X-schtasks-end        | devoid-self-disable
X-unregister-task     | devoid-self-disable
X-disable-task        | devoid-self-disable
X-schtasks-cera       | devoid-self-disable
X-del-pf-exe          | devoid-self-disable
X-del-env-pf          | devoid-self-disable
X-rd-pf               | devoid-self-disable
X-rmdir-pd            | devoid-self-disable
X-ri-pd               | devoid-self-disable
X-ps-localappdata     | devoid-self-disable
X-userprofile-dotdir  | devoid-self-disable
X-rm-dotdevoid-quoted | devoid-self-disable
X-rm-dotdevoid-braced | devoid-self-disable
X-rm-usrlocalbin      | destructive-rm,devoid-self-disable
X-rm-varlib           | destructive-rm,devoid-self-disable
X-mixed-case          | devoid-self-disable
X-sudo-rm-opt         | destructive-rm,devoid-self-disable,privilege-escalation
X-chain-sep           | devoid-self-disable
X-sudo-cli-stop       | devoid-self-disable,privilege-escalation
X-abs-cli-stop        | devoid-self-disable
X-cli-remove-daemon   | devoid-self-disable
X-cli-cleanup         | devoid-self-disable
X-cli-unpatch         | devoid-self-disable
X-cli-exe-stop        | devoid-self-disable
X-nested-sh-c         | devoid-self-disable
X-rm-home-dq          | destructive-rm
N-workspace-del       | NONE
N-workspace-rm        | NONE
N-nodemodules         | NONE
N-usrlocal-lib        | destructive-rm
N-varlib-docker       | destructive-rm
N-pf-nodejs           | NONE
N-devoid-frontend     | NONE
N-opt-devoid-old      | destructive-rm
N-cache-pip           | NONE
N-dist                | NONE
N-ps-dist             | NONE
N-obj                 | NONE
N-sc-query            | NONE
N-schtasks-query      | NONE
N-taskkill-node       | NONE
N-status              | NONE
N-daemon-status       | NONE
N-daemon-start        | NONE
N-setup-enroll        | NONE
N-commit-mention      | action-git-commit
N-commit-mention2     | action-git-commit
N-grep-mention        | NONE
N-rg-mention          | NONE
N-ls-progdata         | NONE
N-cat-devoid-exe      | NONE
