=== analysis rows (all 4) ===
-[ RECORD 1 ]----+-------------------------------------
id               | 821e4cb5-0ae9-4527-9bb7-f4eb594dcfeb
packageName      | left-pad
packageVersion   | 1.3.0
verdict          | ALLOW
riskScore        | 0
status           | COMPLETED
decision_context | install-enforcement
createdAt        | 2026-09-05 21:10:00.715071+00
-[ RECORD 2 ]----+-------------------------------------
id               | 9e2fe1d6-edf5-4364-a59d-d84b420e6a1b
packageName      | lodash
packageVersion   | 4.17.4
verdict          | BLOCK
riskScore        | 70
status           | COMPLETED
decision_context | install-enforcement
createdAt        | 2026-09-05 21:11:33.518586+00
-[ RECORD 3 ]----+-------------------------------------
id               | 11ab0f2e-ead3-48ab-9a64-b48b90bd0ec1
packageName      | lodash
packageVersion   | 4.17.4
verdict          | BLOCK
riskScore        | 0
status           | COMPLETED
decision_context | install-enforcement
createdAt        | 2026-09-05 21:12:37.987747+00
-[ RECORD 4 ]----+-------------------------------------
id               | ab167d94-3456-4c98-918f-2d99b4533396
packageName      | left-pad
packageVersion   | 1.3.0
verdict          | ALLOW
riskScore        | 0
status           | COMPLETED
decision_context | install-enforcement
createdAt        | 2026-09-05 21:12:59.205568+00

