Output format is aligned.
    t     |        event_type         | provider  | agent_type  | policy_decision |                                                    data_classes                                                     |   data_disposition    | enforcement_effect |     surface     | lane 
----------+---------------------------+-----------+-------------+-----------------+---------------------------------------------------------------------------------------------------------------------+-----------------------+--------------------+-----------------+------
 21:12:18 | MCP_SERVER_BLOCKED        |           |             | BLOCK           |                                                                                                                     | BLOCKED_BEFORE_EGRESS |                    |                 | 
 21:12:17 | MCP_SERVER_APPROVED       |           |             | ALLOW           |                                                                                                                     |                       |                    |                 | 
 21:12:17 | AGENT_CONTROL_TAMPER      |           |             |                 |                                                                                                                     |                       |                    | runtime-adapter | 
 21:12:00 | PROMPT_BLOCKED            | anthropic | claude-code | BLOCK           | ["injection-override-exfil", "injection-instruction-override", "injection-system-exfil"]                            | BLOCKED_BEFORE_EGRESS | none               | web-ai-proxy    | 
 21:11:59 | PROMPT_BLOCKED            | anthropic | claude-code | BLOCK           | ["private-key"]                                                                                                     | BLOCKED_BEFORE_EGRESS | none               | web-ai-proxy    | 
 21:11:59 | PROMPT_REDACTED           | anthropic | claude-code | ALLOW           | ["slack-token"]                                                                                                     | REDACTED_THEN_SENT    | none               | web-ai-proxy    | 
 21:11:58 | PROMPT_BLOCKED            | anthropic | claude-code | BLOCK           | ["aws-access-key", "aws-credential-pair"]                                                                           | BLOCKED_BEFORE_EGRESS | none               | web-ai-proxy    | 
 21:11:58 | PROMPT_REDACTED           | anthropic | claude-code | ALLOW           | ["stripe-live"]                                                                                                     | REDACTED_THEN_SENT    | none               | web-ai-proxy    | 
 21:11:33 | PACKAGE_INSTALL_REQUESTED |           | unknown     | HOLD            |                                                                                                                     |                       |                    |                 | 
 21:11:20 | PROMPT_SUBMITTED          | openai    | codex       | ALLOW           |                                                                                                                     | SENT_ALLOWED          | none               | cli             | 
 21:11:17 | AGENT_CONTROL_TAMPER      |           |             |                 |                                                                                                                     |                       |                    | runtime-adapter | 
 21:11:17 | AGENT_CONTROL_TAMPER      |           |             |                 |                                                                                                                     |                       |                    | runtime-adapter | 
 21:10:57 | PROMPT_BLOCKED            | openai    | codex       | BLOCK           | ["jailbreak-persona-unrestricted", "jailbreak-restriction-removal", "jailbreak-role-reassign", "jailbreak-persona"] | BLOCKED_BEFORE_EGRESS | deny-prompt        | cli             | 
 21:10:27 | PROMPT_SUBMITTED          | openai    | codex       | ALLOW           |                                                                                                                     | SENT_ALLOWED          | none               | cli             | 
 21:10:16 | AI_POLICY_BUNDLE_APPLIED  |           |             |                 |                                                                                                                     |                       |                    |                 | 
 21:10:00 | PACKAGE_INSTALL_REQUESTED |           | unknown     | HOLD            |                                                                                                                     |                       |                    |                 | 
 21:09:46 | TOOL_CALL_REQUESTED       | openai    | codex       | ALLOW           |                                                                                                                     | NEVER_LEFT            | none               | cli             | 
 21:09:45 | TOOL_CALL_REQUESTED       | openai    | codex       | ALLOW           |                                                                                                                     | NEVER_LEFT            | none               | cli             | 
 21:09:45 | TOOL_CALL_REQUESTED       | openai    | codex       | ALLOW           |                                                                                                                     | NEVER_LEFT            | none               | cli             | 
 21:09:20 | TOOL_CALL_BLOCKED         | openai    | codex       | BLOCK           | ["authorized-keys-write"]                                                                                           | BLOCKED_BEFORE_EGRESS | deny-tool          | cli             | 
 21:09:19 | TOOL_CALL_BLOCKED         | openai    | codex       | BLOCK           | ["authorized-keys-write"]                                                                                           | BLOCKED_BEFORE_EGRESS | deny-tool          | cli             | 
 21:09:19 | TOOL_CALL_BLOCKED         | openai    | codex       | BLOCK           | ["authorized-keys-write"]                                                                                           | BLOCKED_BEFORE_EGRESS | deny-tool          | cli             | 
 21:08:53 | MCP_SERVER_ADDED          |           |             |                 |                                                                                                                     |                       |                    |                 | 
 21:08:53 | MCP_SERVER_ADDED          |           |             |                 |                                                                                                                     |                       |                    |                 | 
 21:08:53 | MCP_SERVER_ADDED          |           |             |                 |                                                                                                                     |                       |                    |                 | 
 21:08:53 | MCP_SERVER_ADDED          |           |             |                 |                                                                                                                     |                       |                    |                 | 
 21:08:29 | PROMPT_BLOCKED            | openai    | codex       | BLOCK           | ["jailbreak-persona-unrestricted", "jailbreak-restriction-removal", "jailbreak-role-reassign", "jailbreak-persona"] | BLOCKED_BEFORE_EGRESS | deny-prompt        | cli             | 
 21:08:28 | PROMPT_BLOCKED            | openai    | codex       | BLOCK           | ["injection-override-exfil", "injection-instruction-override", "injection-system-exfil"]                            | BLOCKED_BEFORE_EGRESS | deny-prompt        | cli             | 
 21:08:28 | PROMPT_BLOCKED            | openai    | codex       | BLOCK           |                                                                                                                     | BLOCKED_BEFORE_EGRESS | deny-prompt        | cli             | 
 21:08:27 | PROMPT_SUBMITTED          | openai    | codex       | ALLOW           | ["aws-access-key"]                                                                                                  | SENT_ALLOWED          | none               | cli             | 
(30 rows)

