    t     |     event_type      | policy_decision |                                                    data_classes                                                     |   data_disposition    | enforcement_effect |   surface    | warned |                                                                           warn_reason                                                                           | severity 
----------+---------------------+-----------------+---------------------------------------------------------------------------------------------------------------------+-----------------------+--------------------+--------------+--------+-----------------------------------------------------------------------------------------------------------------------------------------------------------------+----------
 21:05:25 | TOOL_CALL_REQUESTED | ALLOW           | ["chmod-broad-777"]                                                                                                 | NEVER_LEFT            | none               | cli          | t      | DeVoid warned this tool call: chmod-broad-777. Safe alternative: Never `chmod 777` a system path. Grant the minimum mode a specific file needs (e.g. `chmod 644 | medium
 21:05:26 | TOOL_CALL_REQUESTED | ALLOW           | ["chmod-broad-777"]                                                                                                 | NEVER_LEFT            | none               | cli          | t      | DeVoid warned this tool call: chmod-broad-777. Safe alternative: Never `chmod 777` a system path. Grant the minimum mode a specific file needs (e.g. `chmod 644 | medium
 21:05:51 | TOOL_CALL_REQUESTED | ALLOW           |                                                                                                                     | NEVER_LEFT            | none               | cli          | f      |                                                                                                                                                                 | 
 21:05:51 | TOOL_CALL_REQUESTED | ALLOW           |                                                                                                                     | NEVER_LEFT            | none               | cli          | f      |                                                                                                                                                                 | 
 21:05:52 | TOOL_CALL_BLOCKED   | BLOCK           | ["destructive-rm"]                                                                                                  | BLOCKED_BEFORE_EGRESS | deny-tool          | cli          | f      |                                                                                                                                                                 | critical
 21:05:52 | TOOL_CALL_REQUESTED | ALLOW           |                                                                                                                     | NEVER_LEFT            | none               | cli          | f      |                                                                                                                                                                 | 
 21:05:52 | TOOL_CALL_BLOCKED   | BLOCK           | ["pipe-to-shell", "fetch-then-exec", "generic-pipe-shell"]                                                          | BLOCKED_BEFORE_EGRESS | deny-tool          | cli          | f      |                                                                                                                                                                 | high
 21:05:52 | TOOL_CALL_REQUESTED | ALLOW           | ["chmod-broad-777"]                                                                                                 | NEVER_LEFT            | none               | cli          | t      | DeVoid warned this tool call: chmod-broad-777. Safe alternative: Never `chmod 777` a system path. Grant the minimum mode a specific file needs (e.g. `chmod 644 | medium
 21:05:52 | TOOL_CALL_BLOCKED   | BLOCK           | ["authorized-keys-write"]                                                                                           | BLOCKED_BEFORE_EGRESS | deny-tool          | cli          | f      |                                                                                                                                                                 | critical
 21:05:52 | TOOL_CALL_BLOCKED   | BLOCK           | ["cloud-cred-read"]                                                                                                 | BLOCKED_BEFORE_EGRESS | deny-tool          | cli          | f      |                                                                                                                                                                 | high
 21:05:52 | TOOL_CALL_BLOCKED   | BLOCK           | ["git-history-destroy", "action-git-push"]                                                                          | BLOCKED_BEFORE_EGRESS | deny-tool          | cli          | f      |                                                                                                                                                                 | high
 21:05:52 | TOOL_CALL_REQUESTED | ALLOW           |                                                                                                                     | NEVER_LEFT            | none               | cli          | f      |                                                                                                                                                                 | 
 21:05:52 | PROMPT_SUBMITTED    | ALLOW           |                                                                                                                     | SENT_ALLOWED          | none               | cli          | f      |                                                                                                                                                                 | 
 21:05:52 | PROMPT_SUBMITTED    | ALLOW           |                                                                                                                     | SENT_ALLOWED          | none               | cli          | f      |                                                                                                                                                                 | 
 21:05:53 | PROMPT_SUBMITTED    | ALLOW           | ["aws-access-key"]                                                                                                  | SENT_ALLOWED          | none               | cli          | f      |                                                                                                                                                                 | medium
 21:05:53 | PROMPT_BLOCKED      | BLOCK           |                                                                                                                     | BLOCKED_BEFORE_EGRESS | deny-prompt        | cli          | f      |                                                                                                                                                                 | high
 21:05:54 | PROMPT_BLOCKED      | BLOCK           | ["injection-override-exfil", "injection-instruction-override", "injection-system-exfil"]                            | BLOCKED_BEFORE_EGRESS | deny-prompt        | cli          | f      |                                                                                                                                                                 | high
 21:05:54 | PROMPT_BLOCKED      | BLOCK           | ["jailbreak-persona-unrestricted", "jailbreak-restriction-removal", "jailbreak-role-reassign", "jailbreak-persona"] | BLOCKED_BEFORE_EGRESS | deny-prompt        | cli          | f      |                                                                                                                                                                 | high
 21:11:58 | PROMPT_BLOCKED      | BLOCK           | ["aws-access-key", "aws-credential-pair"]                                                                           | BLOCKED_BEFORE_EGRESS | none               | web-ai-proxy | f      |                                                                                                                                                                 | high
 21:11:58 | PROMPT_REDACTED     | ALLOW           | ["stripe-live"]                                                                                                     | REDACTED_THEN_SENT    | none               | web-ai-proxy | f      |                                                                                                                                                                 | high
 21:11:59 | PROMPT_BLOCKED      | BLOCK           | ["private-key"]                                                                                                     | BLOCKED_BEFORE_EGRESS | none               | web-ai-proxy | f      |                                                                                                                                                                 | critical
 21:11:59 | PROMPT_REDACTED     | ALLOW           | ["slack-token"]                                                                                                     | REDACTED_THEN_SENT    | none               | web-ai-proxy | f      |                                                                                                                                                                 | high
 21:12:00 | PROMPT_BLOCKED      | BLOCK           | ["injection-override-exfil", "injection-instruction-override", "injection-system-exfil"]                            | BLOCKED_BEFORE_EGRESS | none               | web-ai-proxy | f      |                                                                                                                                                                 | high
 21:12:53 | SESSION_STARTED     |                 |                                                                                                                     |                       | none               |              | f      |                                                                                                                                                                 | 
